Material	Material_Descr	Average_Price	Base UoM	No. Cases/Truck	Plant	Plant Descr.	Material Group	Material Grp. Descr.	Purchasing Group	Purch Grp. Descr.	Product Hierarchy	Product Hier. Descr.	Weight of a Truck	FDC_ID	Team Member
100002	CHEESE CHED WHT SHRED BAG-6/5 LB	2.1037	lb	1280	1000	DOMESTIC STATISTICAL 1000	401040	CHEESE, NATURAL AMER	220	AMS-DAIRY	100402002031540	CHEESE/CHEDDAR WHITE/SHREDDED	38400	2341112	Angela
100018	CHEESE PROCESS YEL SLC LVS-6/5 LB	2.1037	lb	1320	1000	DOMESTIC STATISTICAL 1000	401030	CHEESE, PROCESSED	220	AMS-DAIRY	100402007031560	CHEESE/PROCESSED/SLICED	39600	170899	Angela
100021	CHEESE MOZ LM PART SKM SHRD FRZ BOX-30LB	2.0065	lb	1344	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031540	CHEESE/MOZZARELLA/SHREDDED	40320	2649616	Angela
100022	CHEESE MOZ LM PART SKIM FRZ LVS-8/6 LB	2.0065	lb	840	1000	DOMESTIC STATISTICAL 1000	401020	CHEESE, MOZZARELLA	220	AMS-DAIRY	100402004031440	CHEESE/MOZZARELLA/LOAVES	40320	2682989	Angela
100046	EGGS WHOLE FRZ CTN-6/5 LB	1.1918	lb	1334	1000	DOMESTIC STATISTICAL 1000	304010	EGG PRODUCTS	120	AMS-POULTRY	102802002031400	POULTRY/EGGS/EGGS/FROZEN	40020	323604	Angela
100047	EGGS WHOLE LIQ BULK -TANK	0.7043	lb	0	1000	DOMESTIC STATISTICAL 1000	304010	EGG PRODUCTS	120	AMS-POULTRY	102802002031260	POULTRY/EGGS/EGGS/CHILLED	48000	2342627	Angela
100113	CHICKEN LEGS CHILLED -BULK	0.5624	lb	0	1000	DOMESTIC STATISTICAL 1000	301040	CHICKEN, BULK	120	AMS-POULTRY	102802001031260	POULTRY/EGGS/CHICKEN/CHILLED	36000	2341392	Angela
100117	CHICKEN FAJITA STRIPS CTN-30 LB	2.8213	lb	1300	1000	DOMESTIC STATISTICAL 1000	301030	CHICKEN, COOKED	120	AMS-POULTRY	102802001031400	POULTRY/EGGS/CHICKEN/FROZEN	39000	2344088	Angela
100121	TURKEY BREAST DELI FRZ CTN-40 LB	3.586	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	2341630	Angela
100122	TURKEY BREAST SMKD DELI FRZ CTN-40 LB	5.35	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	172941	Angela
100125	TURKEY ROASTS FRZ CTN-32-48 LB	3.4099	lb	1000	1000	DOMESTIC STATISTICAL 1000	302020	TURKEY, FROZEN	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	171097	Angela
100126	TURKEY HAMS SMKD FRZ CTN-40 LB	3.3933	lb	1000	1000	DOMESTIC STATISTICAL 1000	302030	TURKEY, COOKED	120	AMS-POULTRY	102802004031400	POULTRY/EGGS/TURKEY/FROZEN	40000	2122879	Angela
100127	BEEF CAN-24/24 OZ	4.3186	lb	1000	1000	DOMESTIC STATISTICAL 1000	101010	BEEF, CANNED	130	AMS-LIVESTOCK	101802001031220	MEAT/BEEF/CANNED	36000	173330	Angela
100134	BEEF CRUMBLES W/SPP PKG-4/10 LB	3.7288	lb	1000	1000	DOMESTIC STATISTICAL 1000	101040	BEEF, COOKED	130	AMS-LIVESTOCK	101802001031280	MEAT/BEEF/COOKED	40000	169473	Angela
100139	PORK CAN-24/24 OZ	2.2143	lb	1000	1000	DOMESTIC STATISTICAL 1000	102010	PORK, CANNED	130	AMS-LIVESTOCK	101802006031220	MEAT/PORK/CANNED	36000	167886	Angela
100154	BEEF COARSE GROUND FRZ CTN-60 LB	3.092	lb	0	1000	DOMESTIC STATISTICAL 1000	101030	BEEF, GROUND	130	AMS-LIVESTOCK	101802001031400	MEAT/BEEF/FROZEN	42000	2341259	Angela
100158	BEEF FINE GROUND FRZ CTN-40 LB	3.4608	lb	1000	1000	DOMESTIC STATISTICAL 1000	101030	BEEF, GROUND	130	AMS-LIVESTOCK	101802001031400	MEAT/BEEF/FROZEN	40000	2341259	Angela
100163	BEEF PATTY LEAN FRZ CTN-40 LB	4.2559	lb	950	1000	DOMESTIC STATISTICAL 1000	101030	BEEF, GROUND	130	AMS-LIVESTOCK	101802001031400	MEAT/BEEF/FROZEN	38000	168651	Angela
100173	PORK ROAST LEG FRZ CTN-32-40 LB	1.9548	lb	1000	1000	DOMESTIC STATISTICAL 1000	102035	PORK, FROZEN	130	AMS-LIVESTOCK	101802006031400	MEAT/PORK/FROZEN	40000	168371	Angela
100187	PORK HAM WATERAD SLC FRZ PKG-8/5 LB	2.7358	lb	1000	1000	DOMESTIC STATISTICAL 1000	102050	HAM, FULLY COOKED	130	AMS-LIVESTOCK	101802006031400	MEAT/PORK/FROZEN	40000	169177	Angela
100193	PORK PICNIC BNLS FRZ CTN-60 LB	1.4044	lb	0	1000	DOMESTIC STATISTICAL 1000	102035	PORK, FROZEN	130	AMS-LIVESTOCK	101802006031400	MEAT/PORK/FROZEN	40020	172933	Angela
100195	TUNA CHUNK LIGHT CAN-6/66.5 OZ	TBD	lb	1440	1000	DOMESTIC STATISTICAL 1000	205010	FISH, CANNED	130	AMS-LIVESTOCK	100602003031220	FISH/TUNA/CANNED	35910.72	334194	Angela
100201	CATFISH STRIPS BRD OVN RDY PKG-4/10 LB	6.6825	lb	1000	1000	DOMESTIC STATISTICAL 1000	205030	FISH, FROZEN	130	AMS-LIVESTOCK	100602001031400	FISH/CATFISH/FROZEN	40000	475087	Angela
100206	APPLE SLICES CAN-6/10	1.1314	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202001031220	FRUIT/APPLES/CANNED	35568	2627631	Angela
100212	MIXED FRUIT EX LT CAN-6/10	1.0811	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202009031220	FRUIT/FRUIT COCKTAIL/CANNED	36252	2099689	Angela
100216	APRICOTS DICED PEELED EX LT CAN-6/10	1.1914	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202002031220	FRUIT/APRICOT/CANNED	36936	462605	Kevin
100219	PEACHES CLING SLICES EX LT CAN-6/10	1.0731	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	562821	Kevin
100220	PEACHES CLING DICED EX LT  CAN-6/10	1.0706	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202013031220	FRUIT/PEACHES/CANNED	36252	1743245	Kevin
100224	PEARS SLICES EX LT CAN-6/10	1.2394	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	381417	Kevin
100225	PEARS DICED EX LT CAN-6/10	1.0993	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	534243	Kevin
100226	PEARS HALVES EX LT CAN-6/10	1.3109	lb	912	1000	DOMESTIC STATISTICAL 1000	702010	FRUIT, CANNED	110	AMS-FRUIT & VEG	101202014031220	FRUIT/PEAR/CANNED	36024	359054	Kevin
100238	PEACHES FREESTONE SLICES FRZ CTN-12/2 LB	1.7447	lb	1452	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202013031400	FRUIT/PEACHES/FROZEN	34848	2561820	Kevin
100241	PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ	1.7016	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202013031400	FRUIT/PEACHES/FROZEN	36960	671632	Kevin
100242	BLUEBERRY WILD FRZ CTN-8/3 LB	1.4417	lb	1440	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202004031400	FRUIT/BLUEBERRY/FROZEN	34560	173950	Kevin
100254	STRAWBERRY SLICES FRZ CTN-30 LB	1.4695	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	39600	401463	Kevin
100256	STRAWBERRY FRZ CUP-96/4.5 OZ	1.9049	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202019031400	FRUIT/STRAWBERRY/FROZEN	37800	168173	Kevin
100258	APPLE SLICES FRZ CTN-30 LB	1.135	lb	1320	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202001031400	FRUIT/APPLES/FROZEN	39600	171688	Kevin
100261	APRICOT FRZ CUP-96/4.5 OZ	1.7363	lb	1400	1000	DOMESTIC STATISTICAL 1000	702040	FRUIT, FROZEN	110	AMS-FRUIT & VEG	101202002031400	FRUIT/APRICOT/FROZEN	36960	171703	Kevin
100277	ORANGE JUICE SINGLE CTN-70/4 OZ	1.2585	lb	1920	1000	DOMESTIC STATISTICAL 1000	702050	FRUIT, JUICE	110	AMS-FRUIT & VEG	101202012031420	FRUIT/ORANGE/JUICE	36480	169098	Kevin
100283	ORANGES CTN-34-39 LB	TBD	lb	1026	1000	DOMESTIC STATISTICAL 1000	702030	FRUIT, FRESH	110	AMS-FRUIT & VEG	101202012031380	FRUIT/ORANGE/FRESH	37449	169097	Kevin
100293	RAISINS BOX-144/1.33 OZ	1.8823	lb	2964	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202017031340	FRUIT/RAISINS/DRIED	35568	2557962	Kevin
100299	CHERRIES DRIED PKG-4/4 LB	4.7313	lb	1848	1000	DOMESTIC STATISTICAL 1000	702020	FRUIT, DRIED	110	AMS-FRUIT & VEG	101202005031340	FRUIT/CHERRY/DRIED	29568	171708	Kevin
100307	BEANS GREEN CAN-6/10	0.6804	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602002531220	VEGETABLES/BEANS GREEN/CANNED	34656	621650	Kevin
100313	CORN WHOLE KERNEL(LIQ) CAN-6/10	0.8011	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602004031220	VEGETABLES/CORN/CANNED	36252	169214	Kevin
100315	PEAS CAN-6/10	0.7164	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602006031220	VEGETABLES/PEAS/CANNED	36024	383531	Kevin
100317	SWEET POTATOES W/ SYRUP CAN-6/10	0.7496	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602010031220	VEGETABLES/SWEET POTATO/CANNED	36936	170083	Kevin
100327	TOMATO PASTE CAN-6/10	1.1782	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	37957.44	170459	Kevin
100329	TOMATO DICED CAN-6/10	0.6354	lb	912	1000	DOMESTIC STATISTICAL 1000	703010	VEGETABLE, CANNED	110	AMS-FRUIT & VEG	103602011031220	VEGETABLES/TOMATOES/CANNED	34884	333281	Kevin
