Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100002,CHEESE CHED WHT SHRED BAG-6/5 LB, 	2.1037 ,LB,"1,280",1000,DOMESTIC STATISTICAL 1000,401040,"CHEESE, NATURAL AMER",220,AMS-DAIRY,100402002031540,CHEESE/CHEDDAR WHITE/SHREDDED,"38,400.000",2341112,Angela,,,,,,,,,,
100017,CHEESE PROCESS LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401030,"CHEESE, PROCESSED",220,AMS-DAIRY,100402007031440,CHEESE/PROCESSED/LOAVES,"39,600.000",N/A,Angela,,,,,,,,,,
100018,CHEESE PROCESS YEL SLC LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401030,"CHEESE, PROCESSED",220,AMS-DAIRY,100402007031560,CHEESE/PROCESSED/SLICED,"39,600.000",170899,Angela,,,,,,,,,,
100019,CHEESE PROCESS WHT SLC LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401030,"CHEESE, PROCESSED",220,AMS-DAIRY,100402007031560,CHEESE/PROCESSED/SLICED,"39,600.000",N/A,Angela,,,,,,,,,,
100021,CHEESE MOZ LM PART SKM SHRD FRZ BOX-30LB, 	2.0065 ,LB,"1,344",1000,DOMESTIC STATISTICAL 1000,401020,"CHEESE, MOZZARELLA",220,AMS-DAIRY,100402004031540,CHEESE/MOZZARELLA/SHREDDED,"40,320.000",2649616,Angela,,,,,,,,,,
100022,CHEESE MOZ LM PART SKIM FRZ LVS-8/6 LB, 	2.0065 ,LB,840,1000,DOMESTIC STATISTICAL 1000,401020,"CHEESE, MOZZARELLA",220,AMS-DAIRY,100402004031440,CHEESE/MOZZARELLA/LOAVES,"40,320.000",2682989,Angela,,,,,,,,,,
100034,CHEESE MOZ LITE SHRED FRZ BOX-30 LB, 	2.0065 ,LB,"1,344",1000,DOMESTIC STATISTICAL 1000,401020,"CHEESE, MOZZARELLA",220,AMS-DAIRY,100402004031540,CHEESE/MOZZARELLA/SHREDDED,"40,320.000",N/A,Angela,,,,,,,,,,
100036,CHEESE BLEND AMER SKM YEL SLC LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401030,"CHEESE, PROCESSED",220,AMS-DAIRY,100402007031560,CHEESE/PROCESSED/SLICED,"39,600.000",N/A,Angela,,,,,,,,,,
100037,CHEESE BLEND AMER SKM WHT SLC LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401030,"CHEESE, PROCESSED",220,AMS-DAIRY,100402007031560,CHEESE/PROCESSED/SLICED,"39,600.000",N/A,Angela,,,,,,,,,,
100038,K CHEESE PROCESS WHT SLC LVS-6/5 LB, 	2.1037 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,401031,"CHEESE PROC, KOSHER",220,AMS-DAIRY,100402007031560,CHEESE/PROCESSED/SLICED,"39,600.000",N/A,Angela,,,,,,,,,,
